company,status,analyst report,rating,industry,platform,Valuation / Cap,security type,momentum,amount raised,start date,close date,annual revenue,revenue multiple,investors,average daily raise,min investment,reg type,minority founders,Women Founders,lgbtq founders,social impact,state
Foresyte,Active,Pending Review,2.18,Financial & Insurance Products & Services,StartEngine,"$7,468,560 ",Equity - Common,Warm,"$26,799 ",1/23/2023,3/22/2023,-,-,82,"$2,436 ",$198 ,RegCF,-,Yes,-,-,Illinois
Mighty Heights,Active,Pending Review,2.5,"Education, Training, & Coaching",StartEngine,"$1,900,070 ",Equity - Common,Cold,"$5,814 ",1/23/2023,3/22/2023,-,-,6,$529 ,$295 ,RegCF,Yes,-,-,-,Colorado
Sansar,Active,Pending Review,1.68,"Business Services, Software, & Applications",StartEngine,"$34,107,938 ",Equity - Common,Cold,"$9,286 ",1/23/2023,3/21/2023,-,-,27,$844 ,$100 ,RegCF,-,-,-,-,Michigan
Black Heath Meadery,Active,Pending Review,-,"Alcohol, Tobacco, & Recreational Drugs",Round Here,-,Revenue Share,Warm,"$1,000 ",1/23/2023,7/13/2023,-,-,2,$91 ,$500 ,RegCF,-,-,-,-,Virginia
Vaqat,Active,Pending Review,-,"Education, Training, & Coaching",Wefunder,"$4,500,000 ",SAFE,Cold,"$71,500 ",1/23/2023,4/30/2023,-,-,43,"$6,500 ","$1,000 ",RegCF,-,-,-,-,Delaware
Lustro (previously CrowdLustro),Active,Pending Review,-,Financial & Insurance Products & Services,Wefunder,"$5,000,000 ",Convertible Note,Cold,-,1/23/2023,4/30/2023,-,-,-,-,$300 ,RegCF,-,-,-,-,South Carolina
GetHedge,Active,Pending Review,-,Financial & Insurance Products & Services,Wefunder,"$15,000,000 ",SAFE,Cold,"$111,500 ",1/23/2023,4/30/2023,-,-,23,"$10,136 ",$100 ,RegCF,-,-,-,-,Tennessee
Ourobio,Active,Pending Review,-,Industrial Services,Round Here,"$8,000,000 ",Convertible Note,Cool,"$55,000 ",1/23/2023,3/31/2023,"$11,500 ",695.7x,6,"$5,000 ",$750 ,RegCF,-,-,-,Yes,Virginia
Hacking Solutions,Active,Pending Review,-,"Business Services, Software, & Applications",SMBX,-,Debt,Hot,"$32,070 ",1/23/2023,3/9/2023,-,-,-,"$2,915 ",$10 ,RegCF,-,-,-,-,California
Swopblock,Active,No Report,2.25,Financial & Insurance Products & Services,Wefunder,"$5,000,000 ",SAFE,Cold,"$59,616 ",1/20/2023,4/30/2023,-,-,72,"$4,258 ",$100 ,RegCF,-,-,-,-,Pennsylvania
Niftify,Active,Pending Review,4.63,"Business Services, Software, & Applications",Wefunder,"$20,002,833 ",Equity - Preferred,Cold,"$70,701 ",1/20/2023,4/30/2023,"$402,278 ",49.7x,52,"$5,050 ",$100 ,RegCF,-,-,-,-,Pennsylvania
Thumzup Media,Active,Pending Review,-,Marketing & Advertising,Dalmore Group,-,Equity - Common,Cold,-,1/20/2023,1/20/2024,-,-,-,-,"$1,000 ",RegA+,-,-,-,-,California
Lunar Hard Seltzer,Active,Pending Review,-,"Food, Beverage, & Restaurants",Republic,"$12,000,000 ",SAFE,Warm,"$133,948 ",1/20/2023,3/20/2023,-,-,118,"$9,568 ",$100 ,RegCF,-,-,-,-,New York
Tampa Deep Sea Xplorers,Active,Pending Review,3.52,"Transportation, Automotive, Aviation, & Aerospace",StartEngine,"$10,320,000 ",Equity - Common,Cool,"$19,339 ",1/19/2023,4/19/2023,"$169,720 ",60.8x,28,"$1,289 ",$100 ,RegCF,-,-,-,-,Florida
Bombarda Rum,Active,No Report,2.89,"Alcohol, Tobacco, & Recreational Drugs",StartEngine,"$10,013,000 ",Equity - Common,Cool,"$25,400 ",1/19/2023,3/21/2023,"$384,002 ",26.1x,26,"$1,693 ",$249 ,RegCF,-,-,-,-,Florida
SampleServe,Active,Pending Review,4.87,"Business Services, Software, & Applications",StartEngine,"$7,203,404 ",Equity - Common,Cold,"$7,083 ",1/19/2023,3/20/2023,"$184,694 ",39x,10,$472 ,$249 ,RegCF,-,-,-,Yes,Michigan
Calibre Biometrics,Active,No Report,2.13,Healthcare & Pharmaceuticals,StartEngine,"$22,750,000 ",Equity - Common,Cold,"$47,700 ",1/19/2023,3/20/2023,-,-,19,"$3,180 ",$500 ,RegCF,-,-,-,-,Massachusetts
KingsCrowd,Active,No Report,-,Financial & Insurance Products & Services,Dalmore Group,"$45,000,000 ",Equity - Common,Cold,"$7,500 ",1/19/2023,1/19/2024,"$497,392 ",90.5x,5,$500 ,"$1,000 ",RegA+,-,-,-,-,Massachusetts
Commongrounds Cooperative,Active,Pending Review,-,Real Estate & Construction,MainVest,-,Revenue Share,Warm,"$12,650 ",1/19/2023,5/1/2023,-,-,11,$843 ,$100 ,RegCF,-,-,-,-,Michigan
Hooray Foods,Active,No Report,4.09,"Food, Beverage, & Restaurants",Wefunder,"$12,500,000 ",SAFE,Cool,"$38,300 ",1/18/2023,4/30/2023,"$755,451 ",16.5x,-,"$2,394 ",$100 ,RegCF,Yes,-,-,Yes,California
Vlogmi,Active,No Report,2.73,"Media, Entertainment & Publishing",StartEngine,"$9,470,349 ",Equity - Common,Cool,"$14,604 ",1/18/2023,4/17/2023,-,-,25,$913 ,$100 ,RegCF,Yes,Yes,-,-,Colorado
StrandSmart,Active,Pending Review,3.97,Healthcare & Pharmaceuticals,StartEngine,"$18,040,050 ",Equity - Common,Cold,"$21,587 ",1/18/2023,3/20/2023,-,-,17,"$1,349 ",$497 ,RegCF,-,Yes,-,-,California
Alpha Motor Corporation,Active,Pending Review,2.36,"Transportation, Automotive, Aviation, & Aerospace",StartEngine,"$125,060,000 ",Equity - Common,Warm,"$664,241 ",1/18/2023,3/19/2023,-,-,383,"$41,515 ",$500 ,RegCF,Yes,Yes,-,-,California
Blendid,Active,Pending Review,4.83,"Food, Beverage, & Restaurants",StartEngine,"$88,010,557 ",Equity - Preferred,Warm,"$81,587 ",1/18/2023,2/28/2023,"$1,014,634 ",86.7x,51,"$5,099 ",$500 ,RegCF,Yes,-,-,-,California
EduMatch,Active,Pending Review,-,"Education, Training, & Coaching",SMBX,-,Debt,Hot,"$74,160 ",1/18/2023,2/13/2023,-,-,-,"$4,635 ",$10 ,RegCF,-,-,-,-,Virginia
Oxford Hounds,Active,No Report,2.29,Apparel & Fashion,Wefunder,"$4,594,167 ",Equity - Preferred,Cold,"$163,999 ",1/17/2023,4/30/2023,-,-,16,"$9,647 ",$250 ,RegCF,-,-,-,-,Arizona
Level Up Basketball,Active,No Report,1.71,"Education, Training, & Coaching",Wefunder,"$6,500,000 ",SAFE,Warm,"$53,490 ",1/17/2023,4/30/2023,-,-,13,"$3,146 ",$100 ,RegCF,-,-,-,-,New York
SeeMe,Active,No Report,3.84,Arts & Crafts,Republic,"$6,000,000 ",SAFE,Cold,"$10,550 ",1/17/2023,3/18/2023,"$105,892 ",56.7x,15,$621 ,$100 ,RegCF,-,-,-,-,Massachusetts
HLD Film,Active,No Report,-,"Media, Entertainment & Publishing",Netcapital,"$2,010,124 ",Equity - Common,Cold,$380 ,1/17/2023,3/17/2023,-,-,-,$22 ,$114 ,RegCF,Yes,-,-,-,New York
Slated,Active,No Report,3.47,"Media, Entertainment & Publishing",Wefunder,"$44,000,000 ",SAFE,Warm,"$44,951 ",1/16/2023,4/30/2023,"$403,897 ",108.9x,-,"$2,497 ",$100 ,RegCF,-,-,-,-,California
IQ Billiards,Active,No Report,3.88,"Media, Entertainment & Publishing",StartEngine,"$500,000 ",Equity - Common,Cold,"$8,023 ",1/16/2023,4/13/2023,"$108,104 ",4.6x,23,$446 ,$100 ,RegCF,Yes,-,-,-,Florida
Vroom Solar,Active,No Report,3.7,"Energy, Power, & Natural Resources",StartEngine,"$9,000,000 ",Equity - Common,Warm,"$118,915 ",1/16/2023,3/14/2023,-,-,39,"$6,606 ",$248 ,RegCF,-,-,-,Yes,Missouri
PursuitAlert,Active,Pending Review,-,"Security, Cybersecurity, & Defense",Silicon Prairie Online,-,Convertible Note,Cold,"$33,500 ",1/16/2023,1/13/2024,-,-,11,"$1,861 ",$500 ,RegCF,-,-,-,-,South Carolina
Sweater,Active,No Report,-,Financial & Insurance Products & Services,Dalmore Group,Uncapped,SAFE,Cold,-,1/16/2023,3/31/2023,-,-,-,-,"$1,000 ",RegCF,-,-,-,Yes,Colorado
Boomerang,Active,No Report,1.32,Healthcare & Pharmaceuticals,Title3Funds,"$10,000,000 ",Equity - Common,Cold,"$2,000 ",1/13/2023,12/6/2023,-,-,-,$95 ,$250 ,RegCF,-,-,-,-,California
Oxygen4Life,Active,No Report,1.94,Healthcare & Pharmaceuticals,Dealmaker Securities,"$5,000,000 ",Equity - Common,-,-,1/13/2023,5/3/2023,-,-,-,-,$100 ,RegCF,-,-,-,-,Wyoming
Red Eye Louie’s,Active,No Report,3.66,"Alcohol, Tobacco, & Recreational Drugs",StartEngine,"$15,255,758 ",Equity - Common,Cold,"$7,931 ",1/13/2023,4/13/2023,"$1,531,344 ",10x,12,$378 ,$250 ,RegCF,Yes,Yes,-,-,Alabama
Bowr,Active,No Report,3.24,"Consumer Products, Goods & Services",Republic,"$10,000,000 ",SAFE,Cold,"$1,150 ",1/13/2023,3/14/2023,"$500,000 ",20x,4,$55 ,$150 ,RegCF,Yes,Yes,-,Yes,Wyoming
TLOREN,Active,No Report,1.88,Beauty & Personal Care,Honeycomb,-,Debt,Warm,"$66,450 ",1/13/2023,2/27/2023,"$318,443 ",-,27,"$3,164 ",$100 ,RegCF,Yes,Yes,-,-,Illinois
Beanchain Coffee,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Cold,"$3,900 ",1/13/2023,3/17/2023,-,-,10,$186 ,$100 ,RegCF,-,-,-,-,Arizona
Alchemy Wine & Beer,Active,Pending Review,-,"Food, Beverage, & Restaurants",SMBX,-,Debt,Warm,"$14,730 ",1/13/2023,2/27/2023,-,-,-,$701 ,$10 ,RegCF,-,-,-,-,New York
ONE ROQ Spirits,Active,No Report,3.1,"Alcohol, Tobacco, & Recreational Drugs",Andes Capital,"$42,000,000 ",Equity - Common,Cool,"$320,654 ",1/12/2023,12/21/2023,"$123,982 ",338.8x,354,"$14,575 ",$200 ,RegCF,-,-,-,-,New York
Bow Wow Labs,Active,No Report,2.19,"Pet Health, Food, and Services",Wefunder,"$23,336,750 ",Equity - Common,Cold,-,1/12/2023,4/30/2023,"$4,443,500 ",5.3x,-,-,$100 ,RegCF,-,-,-,-,California
Fast Bags Corp,Active,No Report,3.45,"Consumer Products, Goods & Services",Wefunder,"$9,542,888 ",Equity - Preferred,Cool,"$127,157 ",1/12/2023,4/30/2023,"$270,850 ",35.2x,343,"$5,780 ",$100 ,RegCF,-,-,-,Yes,New Jersey
LoopGolf,Active,Pending Review,2.28,Financial & Insurance Products & Services,Republic,"$10,000,000 ",SAFE,Cold,"$11,000 ",1/12/2023,3/12/2023,-,-,11,$500 ,$100 ,RegCF,-,-,-,Yes,Michigan
Zero Cheating,Active,No Report,1.45,"Business Services, Software, & Applications",Wefunder,"$5,000,000 ",SAFE,Cold,"$343,249 ",1/11/2023,4/30/2023,-,-,29,"$14,924 ",$100 ,RegCF,-,-,-,-,Florida
Brueprint Tap Rooms,Active,No Report,4.44,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Warm,"$10,300 ",1/11/2023,4/14/2023,"$224,076 ",-,7,$448 ,$100 ,RegCF,-,-,-,-,North Carolina
Exlites Holdings International,Active,No Report,1.49,"Energy, Power, & Natural Resources",TruCrowd,"$23,637,691 ",SAFE,Cold,"$1,050 ",1/11/2023,3/17/2023,-,-,2,$46 ,$350 ,RegCF,-,-,-,-,Florida
Cannecht,Active,No Report,3.6,"Consumer Products, Goods & Services",StartEngine,"$7,976,350 ",Equity - Common,Cold,"$14,723 ",1/11/2023,3/14/2023,-,-,19,$640 ,$151 ,RegCF,-,Yes,-,-,Oregon
A Taylored Experience,Active,Pending Review,-,"Food, Beverage, & Restaurants",Honeycomb,-,Debt,Cold,"$3,861 ",1/11/2023,2/27/2023,-,-,4,$168 ,$100 ,RegCF,-,-,-,-,Alabama
Veebot Systems,Active,No Report,2.24,Healthcare & Pharmaceuticals,StartEngine,"$13,992,000 ",Equity - Common,Cold,"$23,490 ",1/10/2023,3/10/2023,-,-,43,$979 ,$102 ,RegCF,-,-,-,-,Florida
Protein Quick,Active,No Report,1,"Food, Beverage, & Restaurants",Netcapital,"$10,059,976 ",Equity - Common,Warm,"$6,578 ",1/10/2023,3/10/2023,-,-,-,$274 ,$100 ,RegCF,-,-,-,-,Florida
Dolce Brooklyn,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Warm,"$45,700 ",1/10/2023,4/7/2023,-,-,36,"$1,904 ",$100 ,RegCF,-,-,-,-,New York
OmniPad,Active,No Report,3.61,Fitness & Wellness,Netcapital,"$9,375,000 ",Equity - Common,Cold,"$16,638 ",1/9/2023,3/31/2023,-,-,-,$666 ,$100 ,RegCF,-,-,-,-,Florida
Phoenix Capital Group,Active,Pending Review,-,"Energy, Power, & Natural Resources",Dalmore Group,-,Debt,Cold,-,1/9/2023,1/9/2024,-,-,-,-,"$5,000 ",RegA+,-,-,-,-,Colorado
Yasheng Group,Active,No Report,3.46,Healthcare & Pharmaceuticals,PicMii,"$44,291,446 ",Equity - Common,Cold,"$3,250 ",1/6/2023,8/21/2023,"$14,013,905 ",3.2x,-,$116 ,"$1,000 ",RegCF,Yes,-,-,-,California
Blockchain Institute of Technology,Active,No Report,2.63,"Education, Training, & Coaching",StartEngine,"$24,978,999 ",Equity - Common,Cool,"$23,843 ",1/6/2023,4/12/2023,"$62,459 ",399.9x,35,$852 ,$240 ,RegCF,-,-,-,-,Florida
Barbacoa,Active,Pending Review,-,"Food, Beverage, & Restaurants",MainVest,-,Revenue Share,Hot,"$47,700 ",1/6/2023,4/5/2023,-,-,68,"$1,704 ",$100 ,RegCF,-,-,-,-,Missouri
Tomorrow Bookstore,Active,Pending Review,-,"Consumer Products, Goods & Services",MainVest,-,Revenue Share,Cold,"$30,000 ",1/6/2023,3/15/2023,-,-,64,"$1,071 ",$100 ,RegCF,-,-,-,-,Indiana
Unbanked (formerly Ternio BlockCard),Active,Pending Review,4.86,Financial & Insurance Products & Services,StartEngine,"$115,000,000 ",SAFE,Cool,"$82,062 ",1/5/2023,4/14/2023,"$19,850,760 ",5.8x,96,"$2,830 ",$250 ,RegCF,-,-,-,-,Georgia
Avivid Water Technology,Active,Pending Review,4.79,Industrial Services,Republic,"$10,000,000 ",SAFE,Cold,"$37,976 ",1/5/2023,3/9/2023,"$150,815 ",66.3x,61,"$1,310 ",$100 ,RegCF,-,-,-,Yes,Colorado
WeatherFlow-Tempest,Active,Pending Review,4.67,"Business Services, Software, & Applications",StartEngine,"$41,122,890 ",Equity - Common,Cool,"$894,639 ",1/5/2023,3/7/2023,"$8,295,461 ",5x,551,"$30,850 ",$385 ,RegCF,-,-,-,-,California
Novatek Pharmaceuticals,Active,No Report,2.92,Healthcare & Pharmaceuticals,Dealmaker Securities,"$5,000,000 ",Equity - Common,Cold,-,1/4/2023,12/14/2023,-,-,-,-,$500 ,RegCF,Yes,-,-,-,Texas
Durable,Active,No Report,2.43,"Business Services, Software, & Applications",Netshares,"$25,000,000 ",Equity - Common,Cold,-,1/4/2023,10/31/2023,-,-,-,-,$250 ,RegCF,Yes,-,-,Yes,Nevada
